Country,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_to_Make_Choices,Generosity,Perceptions_of_Corruption,IQR_Outlier_Count,Modified_Z_Outlier_Count,Domain_Error_Count,Flagged_Features,Record_Decision
Australia,5.310000,1.430000,0.780000,53.200000,0.360000,0.270000,0.800000,0,0,0,,KEEP
Brazil,6.980000,1.450000,0.500000,51.100000,0.980000,0.370000,0.710000,0,0,0,,KEEP
Canada,7.340000,0.600000,0.460000,49.600000,1.000000,0.070000,0.120000,0,0,0,,KEEP
China,6.030000,1.180000,0.840000,59.300000,0.670000,0.380000,0.710000,0,0,0,,KEEP
Denmark,3.610000,1.270000,0.430000,66.900000,0.480000,0.430000,0.530000,0,0,0,,KEEP
Finland,6.670000,1.550000,0.450000,75.400000,0.580000,0.160000,0.100000,0,0,0,,KEEP
France,4.360000,1.570000,0.960000,53.200000,0.600000,0.110000,0.860000,0,1,0,Social_Support,KEEP
Germany,3.610000,1.090000,0.560000,76.800000,0.850000,0.300000,0.800000,0,0,0,,KEEP
Iceland,4.680000,0.870000,0.540000,63.400000,0.710000,0.410000,0.720000,0,0,0,,KEEP
India,4.450000,1.410000,0.500000,78.400000,1.000000,0.180000,0.160000,0,0,0,,KEEP
Japan,6.290000,0.920000,0.790000,67.500000,0.340000,0.550000,0.170000,0,0,0,,KEEP
Netherlands,6.410000,0.870000,0.540000,72.600000,0.450000,0.380000,0.360000,0,0,0,,KEEP
New Zealand,3.870000,0.610000,0.570000,41.300000,0.660000,0.260000,0.840000,0,0,0,,KEEP
Norway,6.250000,1.390000,0.820000,81.600000,0.690000,0.010000,0.710000,0,0,0,,KEEP
South Africa,3.530000,1.140000,0.630000,50.400000,0.900000,0.090000,0.200000,0,0,0,,KEEP
South Korea,5.840000,1.110000,0.770000,56.600000,0.570000,0.520000,0.490000,0,0,0,,KEEP
Sweden,3.630000,1.160000,0.620000,51.200000,0.330000,0.570000,0.770000,0,0,0,,KEEP
Switzerland,4.460000,0.670000,0.570000,68.800000,0.930000,0.320000,0.520000,0,0,0,,KEEP
United Kingdom,5.670000,1.300000,0.530000,79.600000,0.740000,0.160000,0.150000,0,0,0,,KEEP
United States,4.440000,1.390000,0.620000,48.900000,0.380000,0.530000,0.350000,0,0,0,,KEEP
