Country,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_to_Make_Choices,Generosity,Perceptions_of_Corruption,Happiness_Normalized,Health_Normalized,Freedom_Normalized,Composite_Happiness_Index
Australia,5.310000,1.430000,0.780000,53.200000,0.360000,0.270000,0.800000,0.467192,0.295285,0.044776,0.269084
Brazil,6.980000,1.450000,0.500000,51.100000,0.980000,0.370000,0.710000,0.905512,0.243176,0.970149,0.706279
Canada,7.340000,0.600000,0.460000,49.600000,1.000000,0.070000,0.120000,1.000000,0.205955,1.000000,0.735318
China,6.030000,1.180000,0.840000,59.300000,0.670000,0.380000,0.710000,0.656168,0.446650,0.507463,0.536760
Denmark,3.610000,1.270000,0.430000,66.900000,0.480000,0.430000,0.530000,0.020997,0.635236,0.223881,0.293371
Finland,6.670000,1.550000,0.450000,75.400000,0.580000,0.160000,0.100000,0.824147,0.846154,0.373134,0.681145
France,4.360000,1.570000,0.960000,53.200000,0.600000,0.110000,0.860000,0.217848,0.295285,0.402985,0.305373
Germany,3.610000,1.090000,0.560000,76.800000,0.850000,0.300000,0.800000,0.020997,0.880893,0.776119,0.559337
Iceland,4.680000,0.870000,0.540000,63.400000,0.710000,0.410000,0.720000,0.301837,0.548387,0.567164,0.472463
India,4.450000,1.410000,0.500000,78.400000,1.000000,0.180000,0.160000,0.241470,0.920596,1.000000,0.720688
Japan,6.290000,0.920000,0.790000,67.500000,0.340000,0.550000,0.170000,0.724409,0.650124,0.014925,0.463153
Netherlands,6.410000,0.870000,0.540000,72.600000,0.450000,0.380000,0.360000,0.755906,0.776675,0.179104,0.570562
New Zealand,3.870000,0.610000,0.570000,41.300000,0.660000,0.260000,0.840000,0.089239,0.000000,0.492537,0.193925
Norway,6.250000,1.390000,0.820000,81.600000,0.690000,0.010000,0.710000,0.713911,1.000000,0.537313,0.750408
South Africa,3.530000,1.140000,0.630000,50.400000,0.900000,0.090000,0.200000,0.000000,0.225806,0.850746,0.358851
South Korea,5.840000,1.110000,0.770000,56.600000,0.570000,0.520000,0.490000,0.606299,0.379653,0.358209,0.448054
Sweden,3.630000,1.160000,0.620000,51.200000,0.330000,0.570000,0.770000,0.026247,0.245658,0.000000,0.090635
Switzerland,4.460000,0.670000,0.570000,68.800000,0.930000,0.320000,0.520000,0.244094,0.682382,0.895522,0.607333
United Kingdom,5.670000,1.300000,0.530000,79.600000,0.740000,0.160000,0.150000,0.561680,0.950372,0.611940,0.707997
United States,4.440000,1.390000,0.620000,48.900000,0.380000,0.530000,0.350000,0.238845,0.188586,0.074627,0.167353
