Country,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_to_Make_Choices,Generosity,Perceptions_of_Corruption
Norway,6.25,1.39,0.82,81.6,0.69,0.01,0.71
Denmark,3.61,1.27,0.43,66.9,0.48,0.43,0.53
Iceland,4.68,0.87,0.54,63.4,0.71,0.41,0.72
Switzerland,4.46,0.67,0.57,68.8,0.93,0.32,0.52
Finland,6.67,1.55,0.45,75.4,0.58,0.16,0.1
Netherlands,6.41,0.87,0.54,72.6,0.45,0.38,0.36
Canada,7.34,0.6,0.46,49.6,1.0,0.07,0.12
New Zealand,3.87,0.61,0.57,41.3,0.66,0.26,0.84
Australia,5.31,1.43,0.78,53.2,0.36,0.27,0.8
Sweden,3.63,1.16,0.62,51.2,0.33,0.57,0.77
United States,4.44,1.39,0.62,48.9,0.38,0.53,0.35
United Kingdom,5.67,1.3,0.53,79.6,0.74,0.16,0.15
Germany,3.61,1.09,0.56,76.8,0.85,0.3,0.8
France,4.36,1.57,0.96,53.2,0.6,0.11,0.86
Japan,6.29,0.92,0.79,67.5,0.34,0.55,0.17
South Korea,5.84,1.11,0.77,56.6,0.57,0.52,0.49
India,4.45,1.41,0.5,78.4,1.0,0.18,0.16
China,6.03,1.18,0.84,59.3,0.67,0.38,0.71
Brazil,6.98,1.45,0.5,51.1,0.98,0.37,0.71
South Africa,3.53,1.14,0.63,50.4,0.9,0.09,0.2
